Cycle,Window,Def,Group,N,PY,UCOD,Cause,Deaths,Rate/1000PY,Flag
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,10525.7,8,Influenza/pneumonia,0,0.0,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,10525.7,9,Nephritis,2,0.2,UNSTABLE
2011-2012,36,FIB4 ≥2.67 vs <1.30,Fibrosis-,3523,10525.7,10,All other causes,9,0.9,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,189,300.2,1,Heart disease,7,23.3,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,189,300.2,2,Malignant neoplasms,7,23.3,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,189,300.2,3,Chronic lower resp.,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,189,300.2,4,Accidents,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,189,300.2,5,Cerebrovascular,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,189,300.2,6,Alzheimer's,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,189,300.2,7,Diabetes,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,189,300.2,8,Influenza/pneumonia,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,189,300.2,9,Nephritis,0,0.0,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis+,189,300.2,10,All other causes,12,40.0,
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3573,6195.7,1,Heart disease,3,0.5,UNSTABLE
2017-2018,24,FIB4 ≥2.67 vs <1.30,Fibrosis-,3573,6195.7,2,Malignant neoplasms,6,1.0,UNSTABLE
